,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
104,LW,"6'0""",210,Boedker Mikkel,29,Injured,1.0,7.0,Mid-body,Ottawa
105,G,"6'3""",225,Boes Corbin,25,Not Injured,,,,
106,RW,"6'1""",208,Boeser Brock,22,Injured,2.0,2.0,Groin,Vancouver
107,RW,"6'1""",208,Boeser Brock,22,Injured,2.0,11.0,Groin,Vancouver
108,D,"6'3""",221,Bogosian Zach,28,Injured,5.0,1.0,Lower body,Buffalo
109,D,"6'3""",221,Bogosian Zach,28,Injured,5.0,2.0,Lower body,Buffalo
110,D,"6'3""",221,Bogosian Zach,28,Injured,5.0,5.0,Lower body,Buffalo
111,D,"6'3""",221,Bogosian Zach,28,Injured,5.0,8.0,Lower body,Buffalo
112,D,"6'3""",221,Bogosian Zach,28,Injured,5.0,1.0,Upper body,Buffalo
113,RW,"6'3""",206,Boll Jared,33,Not Injured,,,,
114,C,"6'1""",196,Bonino Nick,31,Not Injured,,,,
115,LW,"6'0""",212,Booth David,34,Not Injured,,,,
116,D,"6'2""",199,Borgen Will,22,Not Injured,,,,
117,C,"6'3""",190,Borgstrom Henrik,21,Not Injured,,,,
118,D,"6'1""",207,Borowiecki Mark,29,Injured,5.0,6.0,Foot,Ottawa
119,D,"6'1""",207,Borowiecki Mark,29,Injured,5.0,12.0,Hand,Ottawa
120,D,"6'1""",207,Borowiecki Mark,29,Injured,5.0,1.0,Lower body,Ottawa
121,D,"6'1""",207,Borowiecki Mark,29,Injured,5.0,1.0,Upper body,Ottawa
122,D,"6'1""",207,Borowiecki Mark,29,Injured,5.0,4.0,Upper body,Ottawa
123,D,"6'4""",216,Bortuzzo Robert,30,Injured,2.0,1.0,Lower body,St. Louis
124,D,"6'4""",216,Bortuzzo Robert,30,Injured,2.0,16.0,Lower body,St. Louis
125,D,"6'2""",192,Bouchard Evan,19,Not Injured,,,,
126,LW,"5'10""",195,Boucher Reid,25,Not Injured,,,,
127,LW,"5'10""",170,Bourke Troy,25,Not Injured,,,,
128,LW,"5'11""",195,Bournival Michael,27,Not Injured,,,,
129,LW,"5'10""",206,Bourque Gabriel,28,Not Injured,,,,
130,G,"6'3""",187,Bouthillier Zachary,19,Not Injured,,,,
131,D,"6'4""",206,Bouwmeester Jay,35,Injured,1.0,3.0,Hip,St. Louis
132,G,"6'4""",210,Bow Landon,23,Not Injured,,,,
133,D,"6'2""",198,Bowey Madison,24,Not Injured,,,,
134,D,"6'2""",227,Boychuk Johnny,35,Injured,1.0,2.0,Concussion,NY Islanders
135,C,"5'11""",185,Boyd Travis,25,Injured,1.0,12.0,Lower body,Washington
136,C,"6'6""",245,Boyle Brian,34,Injured,2.0,1.0,Lower body,Nashville
137,C,"6'6""",245,Boyle Brian,34,Injured,2.0,5.0,Upper body,New Jersey
138,G,"6'1""",197,Boyle Kevin,27,Not Injured,,,,
139,C,"6'1""",199,Bozak Tyler,33,Injured,1.0,9.0,Concussion,St. Louis
140,C,"5'11""",181,Bracco Jeremy,22,Not Injured,,,,
141,C,"6'0""",200,Bradley Matthew,22,Not Injured,,,,
142,D,"5'10""",179,Brannstrom Erik,19,Not Injured,,,,
143,C,"6'1""",202,Brassard Derick,31,Injured,3.0,1.0,Upper body,Florida
144,C,"6'1""",202,Brassard Derick,31,Injured,3.0,9.0,Lower body,Pittsburgh
145,C,"6'1""",202,Brassard Derick,31,Injured,3.0,1.0,Upper body,Pittsburgh
146,C,"6'1""",207,Brassart Brady,26,Not Injured,,,,
147,LW,"5'10""",175,Bratt Jesper,20,Injured,3.0,13.0,Jaw,New Jersey
148,LW,"5'10""",175,Bratt Jesper,20,Injured,3.0,2.0,Lower body,New Jersey
149,LW,"5'10""",175,Bratt Jesper,20,Injured,3.0,15.0,Lower body,New Jersey
150,D,"6'2""",205,Braun Justin,32,Injured,1.0,4.0,Knee,San Jose
151,D,"6'7""",224,Breen Chris,30,Not Injured,,,,
152,RW,"6'0""",203,Brickley Connor,27,Not Injured,,,,
153,D,"6'3""",205,Brickley Daniel,24,Not Injured,,,,
154,D,"6'2""",175,Brisebois Guillaume,21,Injured,1.0,7.0,Hip,Vancouver
155,C,"6'0""",178,Broadhurst Alex,26,Not Injured,,,,
156,D,"6'1""",185,Brodie T.J.,29,Not Injured,,,,
157,D,"6'1""",198,Brodin Jonas,25,Not Injured,,,,
158,C,"6'2""",205,Brodziak Kyle,35,Not Injured,,,,
159,RW,"6'1""",208,Brodzinski Jonny,26,Injured,1.0,59.0,Shoulder,Los Angeles
160,C,"5'11""",180,Brooks Adam,23,Not Injured,,,,
161,G,"6'3""",204,Brossoit Laurent,26,Injured,1.0,8.0,Lower body,Winnipeg/Atlanta
162,RW,"6'3""",213,Brouwer Troy,33,Not Injured,,,,
163,RW,"6'0""",183,Brown Connor,25,Not Injured,,,,
164,RW,"6'0""",210,Brown Dustin,34,Injured,1.0,10.0,Finger,Los Angeles
165,RW,"5'10""",166,Brown J.T.,29,Not Injured,,,,
166,D,"6'5""",225,Brown Joshua,25,Not Injured,,,,
167,C,"6'6""",220,Brown Logan,21,Not Injured,,,,
168,C,"6'1""",210,Brown Patrick,27,Not Injured,,,,
169,D,"6'5""",225,Brown-DUP Josh,25,Not Injured,,,,
170,D,"5'9""",175,Bryson Jacob,21,Not Injured,,,,
171,RW,"6'3""",196,Buchnevich Pavel,24,Injured,2.0,1.0,Concussion,NY Rangers
172,RW,"6'3""",196,Buchnevich Pavel,24,Injured,2.0,13.0,Thumb,NY Rangers
173,G,"6'1""",196,Budaj Peter,36,Not Injured,,,,
174,LW,"5'11""",196,Bunting Michael,23,Not Injured,,,,
175,LW,"6'3""",201,Burakovsky Andre,24,Not Injured,,,,
176,D,"6'1""",207,Burgdoerfer Erik,30,Not Injured,,,,
177,D,"6'5""",230,Burns Brent,34,Not Injured,,,,
178,RW,"6'1""",197,Burrows Alexandre,38,Not Injured,,,,
179,D,"5'10""",190,Butcher Will,24,Injured,1.0,1.0,Lower body,New Jersey
180,D,"6'1""",196,Butler Chris,32,Not Injured,,,,
181,D,"6'5""",4,Byfuglien Dustin,34,Injured,4.0,19.0,Ankle,Winnipeg/Atlanta
182,D,"6'5""",4,Byfuglien Dustin,34,Injured,4.0,4.0,Concussion,Winnipeg/Atlanta
183,D,"6'5""",4,Byfuglien Dustin,34,Injured,4.0,15.0,Leg,Winnipeg/Atlanta
184,D,"6'5""",4,Byfuglien Dustin,34,Injured,4.0,2.0,Upper body,Winnipeg/Atlanta
185,RW,"5'9""",163,Byron Paul,30,Injured,4.0,6.0,Arm,Montreal
186,RW,"5'9""",163,Byron Paul,30,Injured,4.0,14.0,Lower body,Montreal
187,RW,"5'9""",163,Byron Paul,30,Injured,4.0,2.0,Upper body,Montreal
188,RW,"5'9""",163,Byron Paul,30,Injured,4.0,1.0,Wrist,Montreal
189,RW,"6'2""",190,Caamano Nicholas,20,Not Injured,,,,
190,C,"5'10""",176,Caggiula Drake,25,Injured,3.0,13.0,Concussion,Chicago
191,C,"5'10""",176,Caggiula Drake,25,Injured,3.0,4.0,Hand,Edmonton
192,C,"5'10""",176,Caggiula Drake,25,Injured,3.0,3.0,Lower body,Edmonton
193,RW,"6'0""",200,Calderone Tony,20,Not Injured,,,,
194,RW,"5'10""",187,Callahan Ryan,34,Injured,2.0,4.0,Shoulder,Tampa Bay
195,RW,"5'10""",187,Callahan Ryan,34,Injured,2.0,2.0,Upper body,Tampa Bay
196,LW,"5'11""",186,Calvert Matt,29,Not Injured,,,,
