,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
1089,LW,73.0,205,Rychel Kerby,24,Not Injured
1090,C,72.0,187,Rymsha Drake,20,Not Injured
1091,LW,73.0,206,Saad Brandon,26,Injured
1092,C,71.0,200,Saarela Aleksi,22,Not Injured
1093,RW,71.0,203,Salomaki Miikka,26,Injured
1094,G,74.0,205,Samsonov Ilya,22,Not Injured
1095,LW,76.0,207,Sanford Zach,24,Injured
1096,D,75.0,181,Sanheim Travis,23,Not Injured
1097,D,74.0,205,Santini Steve,24,Not Injured
1098,G,71.0,180,Saros Juuse,24,Not Injured
1099,G,73.0,205,Sateri Harri,29,Not Injured
1100,D,72.0,195,Sautner Ashton,25,Not Injured
1101,D,74.0,227,Savard David,28,Not Injured
1102,D,75.0,204,Sbisa Luca,29,Not Injured
1103,D,75.0,208,Scandella Marco,29,Injured
1104,D,73.0,180,Scarlett Reece,26,Not Injured
1105,C,72.0,192,Sceviour Colton,30,Injured
1106,C,74.0,204,Schaller Tim,28,Not Injured
1107,C,75.0,207,Scheifele Mark,26,Not Injured
1108,RW,73.0,200,Schenn Brayden,27,Injured
1109,D,74.0,229,Schenn Luke,29,Not Injured
1110,RW,73.0,192,Scherbak Nikita,23,Injured
1111,D,74.0,196,Schilling Cameron,30,Not Injured
1112,D,72.0,190,Schlemko David,32,Injured
1113,D,74.0,190,Schmaltz Jordan,25,Not Injured
1114,C,72.0,177,Schmaltz Nick,23,Injured
1115,G,76.0,168,Schmid Akira,19,Not Injured
1116,D,73.0,194,Schmidt Nate,27,Not Injured
1117,G,75.0,200,Schneider Cory,33,Injured
1118,C,69.0,170,Schroeder Jordan,28,Not Injured
1119,D,73.0,205,Schuldt Jimmy,24,Not Injured
1120,D,74.0,193,Schultz Justin,28,Injured
1121,LW,70.0,190,Schwartz Jaden,27,Injured
1122,G,76.0,184,Scott Ian,20,Not Injured
1123,D,75.0,220,Seabrook Brent,34,Injured
1124,C,72.0,205,Sedlak Lukas,26,Not Injured
1125,D,74.0,198,Seeler Nick,26,Injured
1126,C,73.0,200,Seguin Tyler,27,Not Injured
1127,D,72.0,199,Seidenberg Dennis,37,Not Injured
1128,D,72.0,200,Sekera Andrej,33,Injured
1129,LW,69.0,156,Seney Brett,23,Not Injured
1130,RW,73.0,192,Senyshyn Zach,22,Not Injured
1131,D,75.0,215,Sergachev Mikhail,21,Not Injured
1132,D,74.0,205,Severson Damon,24,Not Injured
1133,D,72.0,206,Shattenkirk Kevin,30,Injured
1134,RW,71.0,182,Shaw Andrew,27,Injured
1135,RW,75.0,208,Shaw Logan,26,Not Injured
1136,C,75.0,214,Sheahan Riley,27,Not Injured
1137,LW,68.0,175,Sheary Conor,27,Injured
1138,RW,72.0,194,Sherwood Kiefer,24,Not Injured
1139,RW,73.0,202,Sherwood Kole,22,Not Injured
1140,C,73.0,205,Shore Devin,24,Injured
1141,C,73.0,195,Shore Nick,26,Not Injured
1142,D,75.0,206,Siegenthaler Jonas,22,Not Injured
1143,D,75.0,210,Siemens Duncan,25,Not Injured
1144,C,71.0,158,Sikura Dylan,24,Not Injured
1145,RW,73.0,204,Silfverberg Jakob,28,Injured
1146,D,71.0,200,Simek Radim,26,Not Injured
1147,RW,74.0,185,Simmonds Wayne,30,Not Injured
1148,C,71.0,190,Simon Dominik,24,Injured
1149,D,74.0,205,Simpson Dillon,26,Not Injured
1150,C,73.0,200,Sissons Colton,25,Injured
1151,LW,71.0,200,Skinner Jeff,27,Not Injured
1152,D,75.0,214,Skjei Brady,25,Injured
1153,D,71.0,181,Sklenicka David,22,Not Injured
1154,D,75.0,207,Slavin Jaccob,25,Not Injured
1155,RW,74.0,221,Slepyshev Anton,25,Not Injured
1156,D,74.0,195,Smith Brendan,30,Injured
1157,LW,71.0,181,Smith C.J.,24,Not Injured
1158,RW,73.0,208,Smith Craig,29,Injured
1159,C,70.0,190,Smith Gemel,25,Not Injured
